Topic,Count,Name,Representation,Representative_Docs
13,160,13_marriage_marry_arrange_married,"['marriage', 'marry', 'arrange', 'married', 'divorce', 'arranged', 'wife', 'love', 'wedding', 'age']","['love marriage arrange marriage arrange marriage love marriage depend shakal bhagwaan arrange marriage chance love marriage marriage jismai belt sake', 'choose arrange marriage love marriage marriage  love marriage yar marriage  arrange marriage  zabardasti  hardcore  skta  arrange marriage aukat ladki jayegi dahej  love ', 'love marriage arrange marriage   marriage love marriage arrange arranged love marriage']"
14,152,14_age_18_20_19,"['age', '18', '20', '19', '22', '17', '21', '23', 'years', '25']","['age comment kro  age setting krr  ofcourse   aare comments 6 saal likh  20 22 23 19m likh la 22 19 17 male great physique  nice age h 20 19 20 22 21 20 15 5024  54  17 15 20 20 19m 21', 'age comment kro  age setting krr  ofcourse  20 1 26 20 age  20 f 20 20  insta te backchodi hunch chod fela rajha 17 free dating app   23  21 16 f 17  16  boy  3 4 5 saal choti tabhi axi 69 sima taparia  23 baat  follow  u follow back 22   cid479368cakapln1qlgm94nhu5448ujwoweixuhfdfplu5p0z2    ctg    21 6  1 zinda interested  ladko concept india ladki cmmt  22 22 345 17  18 23 23m 18  22 22', 's age  18 20 21 25 batunga  18 27 24 19 real age comments likhiye  20 rishta laye  17 19 18 16  17 20 22']"
15,147,15_cat_dog_dogs_cats,"['cat', 'dog', 'dogs', 'cats', 'animal', 'animals', 'pet', 'pets', 'lion', 'cute']","['choose pet cat dog cat cat  dog  3 cats d love dog 1 girl doggystyle eh  baba cute h', 'cat person dog person  lmkic dogs cats human animal lover  cats behave  dogs loads love  cat person cat  animal lover  a wise butcher animal lover  vegetarian  dog person  dogs kind', 'dog person cat person  cat  dog comments ']"
16,139,16_relationship_single_breakup_distance,"['relationship', 'single', 'breakup', 'distance', 'partner', 'physical', 'long', 'trust', 'communication', 'loyalty']","['relationship status  single married gfbf broken block single puchh single single filhal single  break relationship naamak virus  casual relationship matlab app relationship  ', 'kind relationship  comment  direct marriage casual relationship ladki zindagi  definitely casual  truthful share me relationship partners space  perfect bonding trust s  relationship status confused desi  dil dimag santulit tal mel rehne dil dimag v santulit rahe moye moye relationship format t201odi  test match   relationship  m chai samosas  platform ladka ladki milegi  kachra bhara  zute bhare jaye badi baat isss hookup zamaane expectations yaar  hume pyar jaye maa bharose chod school sb chlega  nhi long lasting loyal carive understandive sbse jruri relation hon loving caring affection option   incrediblelady follow  unconditional relationship start relationship prefer mutual understanding  wishes end direct marriage chhie starting end nikle pyaar  yaar loyal  relationship career focus direct marriage relationship bhaag shadi casual  friendship relationship  girl ready  scha pyaar chiyea scha pyaar  chlega jsa tumhe thk lge anime dekhne relation mje zehni mareez dia  bhaii saaf mn mahilaa h samay mei  moye moye moye moyee   casual jinda ladki buss lovely relationship  merriage  gf broadly announced  casual   depend person relationship rooh jism  relationship  free food family functions  dilwado  loyal nt love n cry fuck n fly  nt clingy  dominating understanding  godi lele ', 'relationship s goss ']"
17,136,17_gay_lgbtq_straight_lesbian,"['gay', 'lgbtq', 'straight', 'lesbian', 'bisexual', 'lgtv', 'support', 'homophobic', 'community', 'tv']","['guys  boys  gay ur sex story straight gay virgin  straight', 're gay m', 'gay friend  ']"
18,129,18_youtuber_triggered_youtube_carry,"['youtuber', 'triggered', 'youtube', 'carry', 'insaan', 'video', 'carryminati', 'netflix', 'minati', 'prime']","['konse youtuber milna chahte   elvish bhaiiiiiiii carry minati triggered insaan   bhuvan bam triggered insaan he rohan  option ', 'favourite youtuber   lmkic lmkic bhuwan bam triggered insaan ashish chanchlani carryminati hell triggered insaan ', 's favorite youtuber  flying beast carryminati sourav joshi triggered insaan triggered insaan carryminati favorite  youtuber']"
19,118,19_game_bgmi_games_play,"['game', 'bgmi', 'games', 'play', 'cod', 'gta', 'pubg', 'fire', 'pc', 'duty']","['play 1 game rest life minecraft bgmi roblox fortnite game death  love game  feelings call duty mobile  bgmipubg csgo call duty play hearts gta', 'bgmi free fire  free fire bgmi gta 5 lund fire sorry nt play games super mario cod bgmi', 'play games  ll  comment game']"
20,110,20_likhu_dil_baat_pyaar,"['likhu', 'dil', 'baat', 'pyaar', 'shayri', 'gya', 'mohabbat', 'arz', 'mili', 'zindagi']","['shayri jaye   arz   aage  sunau shayri bhot dhukh h jindgi aaja baat lu  icecream mili ni aaaja fuddy chat lu khoob farmaya ganducharay   sapna  sapne pelkar  swapandosh  gya  sapna  bach hume  santosh  gya arz gaand dande maru gaa gufa ban jayegi khabr rkhti aasu rome pr dil dukhta bhot h dil dukhta bhot h kehta dil tutne pr awaj   chand noor h isliye tarro usspe gurrur h kisspe gurrur kre jb humara chand humse dur  arz hai irshad irshad  mikasa  aapki cheez pyar lenge  aapki baat aitbaar lenge  bar sirf  zindagi bhar aapka intezaar lenge  shyari lines  safar dhup sako chalo  bheed nikal sako chalo  vaaste raahe badalti  badal sako chalo  raasta deta  gira kr agr sambhal sako chalo ', 'sayari sunado    sunani muje bi sunado comment ishq parvaah husn parvaah yatriyo saman swayam rakhsha kare likha diwar chapp copy paste  arz  gyi shayari kahatam  fursat mile chaand dard kahani poochh lena  sirf humraaz jaane  chlega copy paste h jaane zindagi shaam jaaye hoye shaam aaram hojaaye vakt kaaton soya jaaye mohabbat usool jaano  ummeed rkhi jaaye mohabbat pta bss lagaav  bss behisaab gaalo pr jhumka jhul gya khne dil baat bhul gya dost aksar puchte mili jawab  ishq bazaar surat aalishaan dukaano bheed mili surat talaash nadaan ameer dil mile phir saadagi kone sunsaan dukaan dikhi jaane uspar seerat likha mili khabar rkhti aasu rone dil dukhta bhot h dil dukhta bhot h kehta h dil tutne aawaaj                    ruko google hu', ' add  description sochta khat likhu  khat man baat likhu  dil sare jazbaat likhu  mohabbat hayaat  life  likhu  usko khairaat likhu  likhu yaadon  zikar baton  baato baat likhu  dil sawalat likhu  likhu sawalon jawab likhu  ankhon sarab likhu tujhse milna khwaab likhu  khawabon kitab likhu  likhu khat kahani likhu  kahani tujhko ankho pani likhu  sagh nadani likhu  zindagi bitani likhu  likhu khanai tujhko saans likhu  tujhko pyase pyas likhu  sangh zindagi khaas likhu  zindagi talash likhu likhu sangh zindagi likhu  galti tujhse mafi likhu  mujhse bichd jana likhu  toote bahana likhu  likhu bahane chupa raat likhu  likhu  duniya samjh pare baat likhu  mumkin mulakaat likhu  likhu dil sare armaan wapas dil kone dafna du  likha khat bhejne jgha jala du  comments beautiful  galat jagah aa gya baithak jaana swear almighty god u reading give 1 2 sentence']"
21,108,21_sleep_sleeping_hours_alarm,"['sleep', 'sleeping', 'hours', 'alarm', 'sleepy', 'study', 'eat', 'awake', 'night', 'plans']","[' choose wisely  eat sleep die sleep ofc sleep', 'eat sleep eat sleep eat sleep eat sleep', 'prefer sleep study study sleep study sleep sleep sleep']"
22,103,22_movie_movies_idiots_watch,"['movie', 'movies', 'idiots', 'watch', 'theatre', 'film', 'kgf', 'bollywood', 'watched', 'jawan']","['s alltime favorite movie  comments lmkic pursuit happyness   lucifer scenes website bhul jau favorite movie  blind  moye moye  faster fene  marathi movie  nt plot  mc  side characters  complex humourous nature character vibe  love movie  recommend check  jaan  cz love  feel  relate life  iron man reply karle comments pae poll jaara   lot movies atrangi  met  ashiqui2  ae dil mushkil  sanam kasam feel characters touching   sanam kasam love mocktail sanam kasam em villian yjhd wake sid  list  1fight club 2god father 3ford vs ferrari', 'latest movie  mine  vaccine war watched   source code rango watched leo yesterday  amazing storyline  great cinematography  action background music lit barbarian  2022 horror movie bawaal  sanju series  alice borderland    yesterday bored   talwar  2015   achi movie  latest puraani movie  pursuit happyness  movie series mumbai diaries jawaan leo tiger 3 leo jawan love sight railwaymen theatre home ', 'u movies ott theatre nt watch movie ']"
23,103,23_benefits_friend_friends_friendship,"['benefits', 'friend', 'friends', 'friendship', 'fwb', 'girlfriend', 'bestfriend', 'girl', 'benefit', 'relationship']","['girl friends benefits btana', 'fwb   explain properly friend benefits cmnt aao chutiyo chochle facebook friends bros   read                                               explain bs smjh jao  friend benefits mtlb feelings alawa relationship saari bakchodi google yaar  nt  sharing bed female frd  frnds fulfilling s physical  explain publicly kr skta  dosti na jayaz faida utana  goss  give u proper tutorial goss batau  fame blame  understand  gross mutual symbiosis frnd benefits google  helping friends possible  sex   fwb  days call fwb hookups friends  friends indeed  fwb  ai puch nuksaan jagah benefit  mtlb h friends benefits adhe momos lelo aadha pizza dedo  nam friends ha  asliet ak satisfy ha yo fun bakchodi  ji matlab party apke sambhog mitrata rakhna chaathi friend bkchdi shareef bano  s friends sex things kiss  zoey2023 friends aapko benefits aapka assignment  s subjective definition tbh common iniate ur freinds physical ai nt dating friendship deal offers benefits kharcha favour physicality ig s basic gist baaki mainpulate friend ghapa ghap females boobies  frnds benifits relationship', 'u girls  boy u  benefits relationship u wan friends']"
24,100,24_exam_exams_fail_study,"['exam', 'exams', 'fail', 'study', 'padh', 'studying', 'result', 'pass', 'padhai', 'chill']","['1 december exam padhne man     enge    1 dec exam syllabus complete hogya    chill bestfriend leke time pass  fail jaoge  bura lagega  parents bolna friend fail fail hoja simple  padhke pass hojate fail keliye jigra jigra pass jigra  shakte   sandeep maheshwari dur hoja najro se baap   paise barbaad  fail jao bhay parso paper h  day exam read syllabus exam akela h 4 din chill engineering student   bruh chill  start studying today  study nt tensed fail kr  maja h', 'physics exam bina pade kese pass jau  comments bataw fail fail gi fail  baigan  exams 2 hrs padh padhlo  goal make fail pass padh like 23 chapters guess  focus  confidence aayega study push  exam 2 hours remaining  finish chores  revise final time passing exam content  exam jaake padhai karlo  answer make exams coffee  works magic  speaking personal experience  possible dinner light hn  bhook lage chocolate khaa lena dinner improve concentration   cid479368ca0mm76d180sp1hsb0d5pf7236pycqhs0ee5czeodi    ctg    mushkil  padhna padega bs imp formulas ques kr janna matlab ham chutiye padh exam dene jate  rishwat deke agr classes bhut dhyaan dia thode concept clear 50  aa jayege behan bina padhe pass hindi hai chits  notes washroom  mobile  write answers body   micro xerox naam v cheez  girl bagal londe kaam aa jayenge  bagal mohtarma late gyi  corona time deti pkka paas jati attempt damn questions knowledge  pass ', 'study exam u handle tine   engineering 6 pointer  padh kaam ayega cgpa it s proven 10  exam pure sal padai sirf 10  ayenge legit exam padhta firr padhne wle bcho ache aajate ofcourse kshatriya dharm  time nt postpone till day  question day beta phone padle s time find time study  s u wan fail study exam study exam amazing  exam padenge exam padta jaruri bruh 80  10th boards studying night exam  m 11th']"
25,94,25_porn_watching_watch_addiction,"['porn', 'watching', 'watch', 'addiction', 'video', 'dekhna', 'videos', 'pornstar', 'deepfake', 'watched']","['leave porn  bsdk galat nt porn  watch  left  watch occasionally', 'porn videos 1440p find porn  johnny johnny daddie kese dekhte h  utube porn lot 7 years ofcourse  porn  make porn videos ta aj delhi metro dikhaya', 'type porn most  excluding regular porn  porn comics toys porn hentai porn porn jb hr pl alg alg ldki  hentai  creampie pussy eating batauga s fantasy world lot things happen end  fuck wrong   guys  suggest wierdest porn']"
26,91,26_teacher_school_class_teachers,"['teacher', 'school', 'class', 'teachers', '9th', 'college', 'sir', 'attendance', 'kand', 'classroom']","['dare student teacher ', 'school female teacher cleavage male teacher body mauka mila comment baki', 'horny teacher']"
27,90,27_ctg_khabib_bye_rooh,"['ctg', 'khabib', 'bye', 'rooh', 'binod', 'chalta', 'dukh', 'bala', 'ganja', 'khatam']","['ghumne plan cancel dosto aukad dikha di   doston expose krke aukaat dikhaadi moye moye  goa jana   baellatrix ishone mereko reply krke agli dosto invite aukad dikha  dosto mast maal phuk abv moye moye   cid479368cawbuc20j2905r218lx9053q5dqoqatadnamsd81ih    ctg      cid479368caj0j3fj9e5hl0b7s92kyy18x83ftrkfk95rpah1lz    ctg   ', 'sala dukh kahe khatam ni     cid479368capti9j29wbwbhimxobjfhfpts42wt1csk4t3g10w4    ctg    fuck ball nasib khota lota   moye moye  dukh phele khatam hojao bola   cid479368cafnvi1wn1l2wozlgtl0o5vmoezxpkz02yfw09zipf    ctg    bkl depressed  sirf cool lagne acting   cid479368caba2i67hr73uygi3liy9fh3q6cxwkg8j2b5sjc4mb    ctg    dukh sukh  strong dukh khatam khatam krle dukh puchh jivan khatam dukh b khatam subhe jldi uth ', 'khabib  conor  khabib nurmagomedov conor mcgregor khabib    cid479368cav3p16w4l54slsexq2usxl5ijrkuxniyzsarca5gw    ctg    corner baith khabab anshul jubli  khabib anshul jubli  fighter khabib  entertainer connor hasbulla ']"
28,90,28_smoke_smoking_drinking_weed,"['smoke', 'smoking', 'drinking', 'weed', 'cigarette', 'smoker', 'smokes', 'cancer', 'addiction', 'drink']","['marry boy s smoke  smoke smoke   smoker  smoke  zinda bachega bichari  nt smokers ', 'girls smoking n drinking red flag bakchodi hogyi badi advance  guy  girls  guy  red flag smoke drink wannabe wokes 14 smoking  drinking habit character  ', '1010 ohk    boys drinks smokes likes misogynist you s accepted nt 10 place m fine smoker drinking 11 ur mom  drinks ca nt meet mili 1010 h drinks smokes d s 1110 aukat bahar nt care drinks smokes untill trust s 10 probably s thinks drinking smoking habits women make wrong undesirable end day leave nt speak start talking me syllabus  khtm tata bye bye body count age bt  maintenance high smoking alcohol habbit boys choice chooses boys relationship  drinking fine  alcohol real stress reliever  nt problem s choice wan smoke drink   nt care 110 mine nt care rest  kool banne  10010 real nt confidence  awesome   bataye khubsurat   smokingdrinking doenst define s character  girl boy  girl  drink smoke 1010  smoke drink  cares 10  11  12  fuck 1010  gf gf treat pet  possessive  10 smokes drinks man care health care  boobies lovely butts s 1010  nt issues smoke drink girl things']"
29,89,29_app_ajeeb_hago_bakchodi,"['app', 'ajeeb', 'hago', 'bakchodi', 'tharkis', 'hunch', 'tharki', 'vulgarity', 'developer', 'arahi']","['app download reason  akela pan bhagne kliye ladke dosti correct ladki dosti bs timepass  bakchodi anonymous bakchodi downloaded app mistake m figuring app  pta ni kra  moye moye', 'hunch  app ha  app    chance buddy algorithm works app lures  creator caise bante s boring s fun time bt app thak', 'discord app  discord app  nt nt kesa app app bhot h']"
30,83,30_pain_anger_emotions_weak,"['pain', 'anger', 'emotions', 'weak', 'felt', 'strong', 'emotional', 'heart', 'feel', 'crying']","['realise depth s pain hearing  ca nt understand depth s pain completely empathetic extent depends words ca nt express emotions pain make feel standing feel relaxed reached depth life feel person pain  experience', 'crying sign weakness yess crying sign strong expressing emotion s piece cake   strong crying sign u control ur emotions  holding letting form tears shows u r manage ur anger  crying suffering', 'cry control anger nt control show s approach  letting emotions form crying loud anger hurts mentally physically  talking experience  xd cry excessive anger s wrong decisions s cry anger show anger crying  cry pvt front psych teacher told cry feel angry sad healthy  shows feel show emotions freely  find hard cry close dies  s mentally unhealthy s wrong  time s norm  u cry okkay rote rote gussa dikhati hu agreed 1 weakness   gand phad duniya gussa pillow nikal depends u r angry']"
31,81,31_truth_dare_bt_gt,"['truth', 'dare', 'bt', 'gt', 'bd', 'play', 'gd', 'faith', 'spicy', 'spice']","['truth dare    dare truth truth truth truth dare dare dare truth truth', 'truth dare truth dare truth truth', 'truth dare  truth dare truth truth']"
32,78,32_black_blue_colour_pink,"['black', 'blue', 'colour', 'pink', 'white', 'red', 'color', 'purple', 'green', 'tattoo']","['favourite colour black ni blue check comment black shirt forever  blue black blue blue black ladoo peela colour black dead mouse colour', 'pick colour  yellow  blue  baby pink  black red blue', 'favourate colour white pink red black skin tone  pink black forever  blue black phir black tumhe chusna blue  black  purple']"
33,78,33_jogi_bhupendar_jamshedpur_daya,"['jogi', 'bhupendar', 'jamshedpur', 'daya', 'bhediya', 'bhabhi', 'ayga', 'bhupendra', 'binod', 'sim']","['meme decade aayein baigan binod bhupendar jogi moye moye', 'naam btao   baigan binod bhupendar jogi naam   bhupinder jogi ayein arey ', 'konsi konsi jaga hoon  bhupendar jogi jogi jogi bhupendar bhupendar jogi bhupendar']"
34,77,34_dream_fantasy_dreams_fantasies,"['dream', 'fantasy', 'dreams', 'fantasies', 'nightmare', 'weirdest', 'falling', 'dark', 'bdsm', 'darkest']","['dream  normal dream dream sex dream sex dream david goggins kha stay hard  marathon krwa sapne batau bhul gya weird abb sapne dekhne mei aalas aane laga rehen bahot khatarnaak sapna ruh kaap nt remember dreams  dreamt  normal dream  sapne david goggins  2 km dauda sapne hi sapne aate', 'share dream  ', 'dream falling wet dreams dreams  falling dream real life falling ha  night fall  darr laga fever dream']"
35,75,35_date_april_blind_august,"['date', 'april', 'blind', 'august', 'march', '2003', 'july', 'june', 'feb', '2005']","['birth date cmnt kro  friendship krlena  mine  15 wow cmnt aao 25 september 15 oct 14th august muje aapse toh block dena sabka katega  29 march  6 28 july 29 1 29th february 11 april 1st september 2003 14th july 16 june 24 dec  mra bhot rare date h  20 march 5th november 3 15th march 21 jan 9th march 17 4th december  12', 'mention birthdate make friends comments comment 19th june 2011 10  nehi  14 august  10 june 31 november 4th 19 jruri  2nd july  mermaid 2 jan 28 feb 7th october  29 april 2003 23 october 27th august 20nov 5th march 12 nov fuck dob 26th june 11feb 22 november h  2july 19 august  14th august 23 july  custom pfp     november 28 21 january 17 nov 24 june sari ladkiyo reply wait raha 1st april  ik joking not 16 june 26th june  6 oct', ' comment birth month join opposite gender interested m commenting feb month lovers april april april june october november birthday sirf 2din july april april   july  december         team january august august agust march june s gurlzzz reply krowww  feb fabulous  july december h   march november april april jan oct oct october october  mine october  agr ladki aa jao yaar  wait karwaogi january  feb kyaa july born november  march']"
36,75,36_instagram_snapchat_facebook_whatsapp,"['instagram', 'snapchat', 'facebook', 'whatsapp', 'media', 'twitter', 'youtube', 'social', 'telegram', 'hunch']","['scrap social media   snapchat whatsapp facebook instagram person whatsapp   w ', 'social media  face book hunch  whatsapp snapchat instagram  college', 'scrap social media   instagram facebook twitter snapchat instagram  snapchat youtube yt whatsapp hunch']"
